StaticId;Name;Not identified name;Notes
26;Стальной топор;Топор;Один из нескольких ящиков, наполненных такими топорами, украден у гномов чернокнижниками из Нигона.  Каждый из эитх топоров был закален и заколдован в литейном цехе Каменного города и проштампован их клеймом.
27;Топор Минотавра;Топор;Двухсторонние топоры, наподобие этих, сильно заколдованны волхвами Минотавров в таинственном обряде, который известен только им.  Эти топоры легки, хотя должны быть тяжелыми, и проходят сквозь металлические доспехи так же легко, как они прошли бы через ткань.
28;Секира;Двуручный топор;Этот тип топора с длинной рукояткой позволяет дотянуться дальше и нанести удар сильнее, чем обыкновенный одноручный топор.
29;Секира воина;Двуручный топор;Эта секира имеет более острое лезвие и оснащена всеми новейшими достижениями военной технологии.  бороздки для стока крови, отверстия для свиста и малое лезвие-противовес для нанесения ловких, потрошащих ударов.
30;Секира Палача;Двуручный топор;Названная так за популярность среди палачей, эта секира оснащена более длинным лезвием, что позволяет избежать кровавых ошибок при казни.  
31;Грубое копье;Копье;Хотя это копье - просто грубая палка с навязанным на нее куском острого камня, оно может причинить серьезный урон. (+1D9 при использовании двумя руками).
32;Копье солдата;Копье;Копья, подобные этому, можно найти во всех армиях, где постоянно демонстрируется их удобство и надежность.
33;Копье эльфов;Копье;Оружие эльфов почти всегда настолько грациозно, насколько практично.  Стиль и элегантность копья были достигнуты не за счет практических качеств - таких, как прочное присоединение наконечника к древку или выбора металла и материала для рукояти.
34;Жестокое копье;Копье;Треугольный наконечник копья вызывает особенно болезненные раны, которые исцелить нелегко.  Рунические надписи на древке, по всей видимости, дают дополнительные чары, усиливающие действие треугольного наконечника.
35;Величественное копье;Копье;Клеймо кузнеца и дата изготовления на копье свидетельствуют о том, что оно было изготовлено в магических кузницах Правителя Падиша за 12 лет до Забвения.
36;Алебарда;Алебарда;Подобно всем алебардам, это оружие представляет собой топор с очень длинной рукояткой.  Это универсальное оружие действует, как копье, при битве в ограниченном пространстве или, как посох, когда необходима персональная защита.  Данный экземпляр изготовлен из обычных материалов.
37;Утяжеленная алебарда;Алебарда;В рукоятку этой алебарды был вставлен свинцовый стержень.  При замахивании оружием стержень скользит к лезвию алебарды с громким ударом, увеличивая степень наносимого урона.
38;Мощная алебарда;Алебарда;Маленькое клеймо на лезвии этого оружия свидетельствует о том, что алебарда была изготовлена в знаменитой литейной Мекорика самим мастером, Мекориком Слепым.  Вам придется сильно потрудиться, чтобы найти лучшую алебарду в мире 
39;Трезубец;Трезубец;Вариант фермерских вил, трезубец используется рыбаками с начала времен.  А сейчас это - традиционное во всем мире оружие отправляющихся в море воинов.
40;Заостренный трезубец;Трезубец;Улучшая обычную конструкцию трезубца, кончики зубцов имеют грубые, загнутые назад зазубрины.  Эта конструкция наносит гораздо больший урон, когда оружие вытаскивается из жертвы.
41;Трезубец Войны;Трезубец;"Стиль, любимый в Имперских ВМС Регны; раздвоенные зубцы трезубца войны тонкие и острые, что позволяет резать так же легко, как и колоть.  Для произведения большего впечатления на врагов зубцы покрыты латунью, а рукоятка выкрашена в желтый цвет, что создает видимость, будто регнанцы сражаются золотым оружием."
42;Простой лук;Большой лук;Обычный большой лук незамысловатой формы из обычных материалов.
43;Большой лук;Большой лук;Большой лук высокого качества сконструирован в подражание эльфийскому большому луку, но без эльфийского мастерства.
44;Эльфийский большой лук;Большой лук;Вырезанные у основания этого лука инициалы говорят о том, что он изготовлен главным мастером цеха Ивана Селвинга во времена Древесных Войн в конце седьмого столетия.
45;Составной лук;Большой лук;Составные луки сделаны из разнообразных материалов и частей, а не из одного куска дерева.  Они обычно более прочные и гибкие, чем обыкновенные луки.
46;Лук Грифона;Большой лук;Страшные материалы, применяемые в этом луке, - череп грифона и жесткий позвоночник, - делают его удивительно прочным и мощным луком.  Нет надобности говорить, что эти материалы трудно получить, а грифоны сопротивляются намного сильнее, чем тисовые деревья.
47;Арбалет;Арбалет;Хотя у арбалета много преимуществ - запирающий захват тетивы, большая сила выстрела, легкость освоения, - они не могут сравниться с большим луком, когда критическое значение имеют скорость и дальность.  
48;Тяжелый арбалет;Арбалет;Эти арбалеты заготавливались Арчибальдом накануне Войны за Наследство против его брата.  Как во всех решениях, связанных со смертью, Арчибальд сделал мудрый выбор.  Эти арбалеты считаются одними из лучших в стране.
49;Идеальный арбалет;Арбалет;Снабженные заводной рукояткой и прицелом, эти уникальные арбалеты превосходят любого из своих предшественников.  Вот только о происхождении этих арбалетов ничего пока неизвестно...
50;Булава;Булава;Едва ли более сложная, чем обычная палица, булава несколько более эффективна и намного надежнее.
51;Шипастая булава;Булава;Это оружие предназначено для нанесения значительного урона как облаченному в доспехи сопернику, так и не имеющему их.
52;Булава Фанатика;Булава;Обыкновенная булава из Каригора подтверждает высокое качество оружия и снаряжения с этого острова.
53;Утренняя Звезда Гномов;Булава;Разновидность булавы, Утренняя Звезда поражает медленнее, но намного сильнее.  Шипы на наконечнике гарантируют, что тот, кому наносится удар, его почувствует несмотря на доспехи или шкуру.
54;Великий кистень;Булава;Более тяжелое, более грозное оружие, чем Утренняя Звезда, кистени так же опасны для своего владельца, как они опасны для соперников.  Кистени, наподобие этого, имеют самое высокое качество и полностью заколдованы Гильдией Чернокнижников из Нигона.
55;Молот;Молот;Грубое, напоминающее инструмент, оружие. Включает цепь для запястья , что предохраняет молот от падения из руки.
56;Молот Войны;Молот;Эти молоты представляют качественный прорыв в своем разряде и широко используются человекообразными монстрами.  А так как всем хорошо известно, что сами монстры оружия не делают, возникает закономерный вопрос: Откуда же они их берут?...
57;Молот гномов;Молот;Это вершина линейки молотов.  Молот гномов был сконструирован в литейных цехах Каменного города, и обладает совершенными качествами: балансировка, вес, материал рукояти, конструкция головы - все лучшее, с применением современнейших технологий металлообработки.
58;Палица;Палица;Примитивное оружие, которым может воспользоваться даже самый тупой монстр.  Эта палица изготовлена из эрафийского дуба.
59;Шипастая палица;Палица;От обычной палицы эту улучшенную версию отличает то, что она наносит еще более неприятные ранения.
60;Стальная палица;Палица;Симметричность и длина шишки на конце палицы - это единственная черта, которая отличает палицу от булавы.  Балансировка хорошая, конструкция прочная, но это ВСЕ ЖЕ палица и нельзя ждать от нее многого.  По всей вероятности, произведена гоблинами.
61;Посох;Посох;Посох - это распространенное оружие угнетенных.
62;Посох со стальной сердцевиной;Посох;Этот посох наполнили железом, что усилило его удар по сравнению с обычным посохом, в то время как внешне он ничем не отличается от модной прогулочной трости.  Дерево - полированный ясень, покрытый затейливой резьбой.
63;Посох Чародея;Посох;Этот посох - таинственная комбинация из дерева, стекла и алюминия с хрустальным черепом на верхушке.  Оружие скреплено клеем и сильными чарами, что делает его одним из самых легких и прочных посохов в мире.
64;Бластер;Древнее оружие;Оружие огромной силы, безусловно, созданное во Время Чудес.  
65;Лучевое ружье;Древнее оружие;Это лучший образец личного оружия, созданный во Время Чудес. Лучевое Ружье убивает быстрее любого оружия, что вы встречали до этого.
66;Кожаные Доспехи;Кожаные Доспехи;Кожаные доспехи - это самые легкие доспехи, но они дают меньшую защиту, чем более тяжелые.  Кожа в этих доспехах не была обработана должным образом и все еще дурно пахнет химикалиями, применяемыми для ее производства.
67;Клепанная кожа;Кожаные Доспехи;Комплект кожаных доспехов удерживается вместе бронзовыми заклепками, а не кожаными полосами.  Эта конструкция прочнее, но при этом и тяжелее.
68;Кожаные доспехи офицера;Кожаные Доспехи;В принципе, обычные кожаные доспехи, но в них чувствуется едва уловимая энергия заклинания, которое укрепляет материал, не увеличивая доспехи в весе.
69;Регнанские кожаные доспехи;Кожаные Доспехи;Стандартные кожаные доспехи офицеров регнанского флота.  Все подобные кожаные доспехи зачарованы в оружейных мастерских Регны с тем, чтобы сделать их более крепкими и легкими.
70;Королевские кожаные доспехи;Кожаные Доспехи;Было изготовлено только несколько доспехов наподобие этих, и все - по специальным заказам для членов королевской семьи Эрафии - Грифонхартов.  Эти, должно быть, пришли из одного из трех мест:  украдены из оружейной дворца, взяты на поле боя или из ограбленной могилы.
71;Кольчуга;Кольчуга;Кольчуга - это доспехи, сделанные из мелких, переплетенных между собой, металлических колец.  Эта кольчуга выглядит так, словно кто-то забывал смазывать кольца или, возможно, оставил кольчугу под дождем, потому что под мышками начала образовываться ржавчина.
72;Стальная кольчуга;Кольчуга;Этот комплект кольчуги сделан из стали и, фактически, легче, чем схожие комплекты из простого железа.  В этой конструкции использовались тонкие кольца, но стальной состав делает их очень прочными.
73;Тонкая кольчуга;Кольчуга;Сталь очень высокого качества усилена кожей, обитой мелкими заклепками, для смягчения ударов и минимизации веса.  Кожаные участки выглядят вполне художественно и радуют глаз.
74;Великолепная кольчуга;Кольчуга;По всей видимости эта кольчуга служила знаком отличия офицеров в бою.  Кроме того, что она просто хорошо выглядит и является одной из самых легких и гибких из существующих кольчуг.  
75;Золотая кольчуга;Кольчуга;"Крайне редкие доспехи, произведенные в Небесной Кузнице Правителя Падиша до Забвения.  Изначально такие доспехи носил лишь сам Правитель и его высшие военные чины. Эти доспехи были символом правления.  И не чистой элегантности ради; эта кольчуга легче, прочнее и податливее любой другой кольчуги в мире."
76;Латы;Латы;Латы - самый сильный вид брони.  Они намного тяжелее, чем другие виды доспехов, и требуют значительной практики, чтобы привыкнуть их носить.  Этот комплект сделан из железа и не отличается особым мастерством исполнения.
77;Роскошные латы;Латы;Изготовленные в Эрафийской оружейной, эти латы имеют свежее клеймо:  Б.Р., Литейный цех Стедвика, 1151.  Это инициалы Байрона Рокерманна, Королевского оружейника из Эрафии.  Его работы отличаются качеством и элегантностью.
78;Латы аристократа;Латы;Комплект таких прекрасных доспехов мог выйти только из литейной мастерской самого Мастера - Мекорика Слепого.  Действительно на этом, у пятки, инициалы его сына, Касева Мекорика.  Шарниры двигаются легко, а металлические части имеют удивительную тройную броню, которая делает их тонкими и легкими и все же невероятно крепкими.  Подкладка также удобна.
79;Щит Гоблина;Большой щит;Простой старый щит с грубыми отметинами на поверхности.  Уродливо, но практично.
80;Деревянный щит;Большой щит;Деревянный щит с железной обивкой.  Он тяжелый, но крепко сделан и в хорошем состоянии.
81;Щит всадника;Большой щит;Узкий и сходящийся клином внизу, этот щит предназначен для битв верхом на коне, но будет служить хорошо и в пешем строю.  Конструкция щита прочная, материалы качественные. Он должен выдержать и прямой удар копья.
82;Безупречный щит;Большой щит;Сделанный из легкого металла, этот щит отмечен клеймом литейного цеха оружейной Келебрима.  Хоть сам щит и легок, он очень прочен. В бою просто не чувствуешь его веса.  
83;Финаксийский щит;Большой щит;Эти щиты ковались в Финаксийской империи во времена ее короткого правления над эрафийскими степями (790-864 гг.).  Такие щиты делались из стальта - металла, легко поддающегося чарам, и внесли большой вклад в военную мощь финаксийцев.  К сожалению, такого металла было совсем немного, и Финаксия пала в 864 г. П.З. под натиском эльфов.
84;Небольшой круглый деревянный щит;Малый щит;Небольшой круглый деревянный щит предназначен для защиты от стрел, не стесняя движений своего владельца.  Качество любительское, но он в хорошем состоянии и послужит своей цели.
85;Бронзовый щит;Малый щит;Бронзовые щиты легче железных щитов того же размера, но значительно уступают им в прочности.
86;Металлический щит;Малый щит;Красивый красный узор на поверхности щита означает, что он из Дейи, а краска не является краской.  Протравка и сохраняющие средства помогают удержать первоначальный цвет...
87;Легированный щит;Малый щит;Точный состав сплава, используемого в этих прочных щитах, был утрачен сотни лет назад. Попытки вновь открыть процесс, использовавшийся для их приготовления, заканчивались неудачами.  Эти щиты не были зачарованы при изготовлении - любые чары, которые они содержат, были добавлены после их создания.  
88;Величественный щит;Малый щит;Темный золотой цвет этих щитов, - фактически, недостаток.  Около пятидесяти щитов было выпущено из Небесной Кузницы, когда начались неудачи.  И хотя они не совершенны, они уступают только щитам, созданным в Кузнице в пору ее расцвета.
89;Рогатый шлем;Шлем;Этот дешевый шлем больше подходит для костюмированного вечера, чем для битвы.  Рога были присоединены к жесткой кожаной шапке, выкрашенной в черный цвет, чтобы придать ей более ужасный вид.  Материал хрупкий и слоистый и, вероятно, отстанет в самое неподходящее время.
90;Шлем новобранца;Шлем;Простой стиль и однообразие этих шлемов предназначены вселить ужас в сердца врагов, когда они видят, как бронзовые шлемы с шипами, ряд за рядом, маршируют на них.  
91;Прочный шлем;Шлем;Такого рода шлемы использовались эрафийскими эльфами еще до Забвения.  Он сделан из серебра и стали и потому очень прочен.
92;Финаксийский шлем;Шлем;Бывшие в ходу у финаксийских драгун во время экспансии их империи несколько сотен лет назад, эти шлемы прочны, гибки и легки.  Сделаны они из двух полосок шкуры дракона, соединенных вместе заклепками из стальта.
93;Шлем могреда;Шлем;Эти шлемы наполовину состоят из черепа могреда, опасного зверя из Каригора. Такие шлемы встречаются все реже с каждым годом, по мере того как могреды вымирают.  Из красных пятен спереди шлема торчали два ядовитых шипа.
94;Шляпа крестьянина;Шляпа;Обычная матерчатая шляпа с пером, заткнутым за ленту для шика.
95;Шляпа путешественника;Шляпа;Простая шляпа предназначена для защиты от солнца и пыли.
96;Модная шляпа;Шляпа;Последний писк моды, эта шляпа возвращает нас к стилю рабочего класса.  В действительности дело не в стиле шляпы, а в том, что молодые аристократы пытаются подражать рабочему человеку, который, в свою очередь, подражает знати.
97;Корона;Корона;Это дешевая корона вроде тех, что носят примитивные гоблины, чтобы подражать обычаям людей.  Металл - бронза, а драгоценный камень на самом деле - стекляшка.
98;Корона Знати;Корона;Прекрасная, в какой-то мере даже хвастливая, корона сделана из золотого листа и украшена большим аметистом высокого качества.  Она хорошо подходит знати вашего круга.
99;Королевская корона;Корона;Такие короны изготавливаются с использованием магии, чтобы они обладали более сильной восприимчивостью к чарам.  Если же такая корона не зачарована, это означает, что кто-то просто не закончил работу над ней. 
100;Кожаный пояс;Пояс;Пояс крестьянина.  Этот экземпляр сделан из плохо обработанной кожи и ржавеющих железных заклепок.
101;Красивый пояс;Пояс;Прекрасно выполненный пояс из хорошо обработанной и тонко прошитой кожи.  Пряжка выполнена из полированного серебра.
102;Крепкий пояс;Пояс;Прочный пояс из кожи высокого качества.  Этот, вероятно, сделан в Западной Эрафии.  
103;Серебряный пояс;Пояс;Очень хорошо изготовленный пояс, старый, но за ним хорошо ухаживали.  Ни на одном из его звеньев нет следов потускнения - только небольшой износ вокруг пряжки.
104;Позолоченный пояс;Пояс;Чрезвычайно блестящий, этот пояс изготовлен из золота в 14 карат.  Каждое звено имеет различное изображение низкого качества, проштампованное на его поверхности.  Безвкусно, но дорого.
105;Кожаная накидка;Накидка;Простая накидка путешественника.
106;Накидка охотника;Накидка;Накидка охотника выкрашена в зеленый цвет, чтобы владельца было трудно заметить в лесу.  Не на что смотреть, но служит своему назначению.
107;Накидка рейнджера;Накидка;Такие накидки ткутся из растительных волокон из Тулареанского леса и типичны для эльфийских рейнджеров.
108;Элегантная накидка;Накидка;Накидку такого качества выбирает богатая знать и члены королевской семьи.  Трудно найти лучше.
109;Великолепная накидка;Накидка;Почти все накидки, наподобие этой, имеют те или иные чары.  Чернокнижники  из Нигона используют легионы умственно порабощенных людей для выполнения нудной ткацкой работы и  сотворения ритуальных заклинаний, нужных для изготовления этих накидок.
110;Латные рукавицы;Латные рукавицы;Железные латные рукавицы низкого качества с матерчатой прокладкой для предотвращения волдырей.  
111;Стальные латные рукавицы;Латные рукавицы;Эта пара латных рукавиц изготовлена из стали и украшена латунным узором вдоль внешней стороны ладони и тыльной части руки.  Она хорошо отремонтирована и смазана.
112;Латные рукавицы из серебряной сетки;Латные рукавицы;Эти прекрасные латные рукавицы отлиты и созданы гномами из Каменного города.  Они обладают гибкостью, но при этом обеспечивают хорошую защиту.  Единственное проблема состоит в том, что кожа владельца иногда попадает в сетку, что приводит к болезненным щипкам.
113;Латные рукавицы из шкуры дракона;Латные рукавицы;Высококачественные латные рукавицы обеспечивают как свободу движений, так и защиту.  Они усилены на стыках и, вместе с тем, достаточно мягки, чтобы позволить руке почти нормально двигаться.
114;Латные рукавицы из могреда;Латные рукавицы;Изготовленные из шкуры зверя могреда, который водится на Каригоре, эти рукавицы прочны, гибки и устойчивы к магии.  Из двух красных пятен обычно росли ядовитые шипы.
115;Кожаные сапоги;Сапоги;Эти сапоги изготовлены из мягкой кожи для большего удобства, но в бою они мало защищают.
116;Стальные сапоги;Сапоги;Эту пару кожаных сапог снабдили стальными пластинами поверх стопы и у голени.
117;Сапоги рейнджера;Сапоги;Качественная пара эрафийских кожаных сапог.  У этой пары обычные черты эрафийского кожевенного производства:  они мягкие, водостойкие и бесшумные.  
118;Сапоги рыцаря;Сапоги;Полированные серебряные сапоги с бархатной отделкой изнутри, легче и гораздо удобнее стальных.  Да и выглядят они шикарно.
119;Сапоги паладина;Сапоги;Изготовленные в литейном цехе Байрона Рокерманна, эти сапоги, изготовленные из серебра и стали, - среди лучших в мире.  Они чрезвычайно прочны, и все же удобно и гибко сидят во всех нужных местах.
120;Латунное кольцо;Кольцо;Потускневшее латунное кольцо.  Если его отполировать, то, может, удастся продать, но многого не ждите.
121;Кольцо с жемчугом;Кольцо;Большая, необработанная жемчужина украшает это, ничем другим не примечательное, золотое кольцо.
122;Платиновое кольцо;Кольцо;На первый взгляд кажется, что оно из серебра, но кольцо сделано из платины.  Кольцо украшает драгоценный камень - маленький алмаз с изъяном.
123;Изумрудное кольцо;Кольцо;Большой граненый изумруд украшает это простое серебряное кольцо.
124;Кольцо с сапфиром;Кольцо;Три маленьких сапфира вмонтированны в вершину этого  кольца, изготовленного из серебра и золота.  Кольца такого качества зачастую зачарованы.
125;Кольцо чернокнижника;Кольцо;Это сложное и витиеватое расположение аметистов на платине может показаться привлекательным, если вам нравятся вещи такого рода.
126;Очарованное кольцо;Кольцо;Редкое сочетание камня-в-камне - изумруда и граната, закреплено на прекрасном золотом кольце.
127;Ослепительное кольцо;Кольцо;Красивая розетка из рубинов и изумрудов на золотом основании.  Само кольцо изготовлено из платины.
128;Кольцо Чародея;Кольцо;Три чистых граната, вставленные в серебро, раскрывают чары, применяемые для сотворения этого кольца.  Длительное ношение кольца вызывает зуд в руке.
129;Кольцо Ангела;Кольцо;Очень странный коричневый камень (окаменелое дерево?) вмонтирован в металл, который выглядит, как золото, но намного светлее.
130;Амулет Глазное яблоко;Амулет;Этот странный амулет имеет стеклянный глаз на конце дешевой латунной цепочки.  Новинка, но, вероятно, многого не стоит.
131;Бронзовый амулет;Амулет;Вычурный бронзовый амулет с плохо выгравированным изображением на его поверхности.  Дешево и безвкусно.
